article_id,prod_name,product_type_name,product_group_name,graphical_appearance_name,colour_group_name,perceived_colour_value_name,perceived_colour_master_name,department_name,index_name,index_group_name,section_name,garment_group_name,detail_desc
126589012,2p Claw,Hair clip,Accessories,Metallic,Gold,Bright,Metal,Hair Accessories,Ladies Accessories,Ladieswear,Womens Small accessories,Accessories,Plastic hair claws. Width 3.5 cm.
129085001,Pirate Leggings (1),Leggings/Tights,Garment Lower body,Solid,Black,Dark,Black,Jersey Basic,Ladieswear,Ladieswear,Womens Everyday Basics,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.
129085026,Pirate Leggings (1),Leggings/Tights,Garment Lower body,Solid,White,Light,White,Jersey Basic,Ladieswear,Ladieswear,Womens Everyday Basics,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.
129085027,Pirate Leggings (1),Leggings/Tights,Garment Lower body,Melange,Grey,Dusty Light,Grey,Jersey Basic,Ladieswear,Ladieswear,Womens Everyday Basics,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.
130035001,Black Umbrella,Umbrella,Items,Solid,Black,Dark,Black,Other items,Ladies Accessories,Ladieswear,Womens Small accessories,Accessories,Umbrella with a telescopic handle and matching cover. Length 23 cm folded.
141661022,Velour pyjama,Pyjama jumpsuit/playsuit,Nightwear,Application/3D,White,Light,White,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","Velour pyjamas with an appliqué detail at the front and on the feet, and press-studs along one side and leg."
141661025,Velour pyjama,Pyjama jumpsuit/playsuit,Nightwear,Application/3D,Light Pink,Dusty Light,Pink,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","Velour pyjamas with an appliqué detail at the front and on the feet, and press-studs along one side and leg."
144993001,Mama 100 den 1p Tights,Underwear Tights,Socks & Tights,Solid,Black,Dark,Black,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Matt tights with an elasticated waist and extra space for a growing tummy. 100 denier.
145872001,Dorian l/s basic,Sweater,Garment Upper body,Solid,Black,Dark,Black,Men Sport Woven,Sport,Sport,Men H&M Sport,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872037,Dorian l/s basic,Sweater,Garment Upper body,Melange,Dark Grey,Dark,Grey,Men Sport Woven,Sport,Sport,Men H&M Sport,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872043,Dorian l/s basic,Sweater,Garment Upper body,Solid,White,Light,White,Men Sport Woven,Sport,Sport,Men H&M Sport,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872051,Dorian l/s basic,Top,Garment Upper body,Melange,Black,Dark,Black,Men Sport Woven,Sport,Sport,Men H&M Sport,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872052,Dorian l/s basic,Sweater,Garment Upper body,Melange,Dark Blue,Dark,Blue,Men Sport Woven,Sport,Sport,Men H&M Sport,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872053,Dorian l/s basic,Sweater,Garment Upper body,Melange,Dark Grey,Dark,Grey,Men Sport Woven,Sport,Sport,Men H&M Sport,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
146706001,Tanktop body white 3PACK,Bodysuit,Garment Upper body,Solid,White,Light,White,Baby basics,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
146706004,Tanktop body white 3PACK,Bodysuit,Garment Upper body,Solid,White,Light,White,Baby basics,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
146706005,3P TANKTOP BODY,Bodysuit,Garment Upper body,Solid,Light Grey,Dusty Light,Grey,Baby basics,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
146721001,Hair Ring,Hair string,Accessories,Solid,Gold,Bright,Metal,EQ & Special Collections,Ladies Accessories,Ladieswear,Womens Small accessories,Accessories,Hair clip in the shape of a metal ring that opens and has a hair elastic inside.
146721002,Hair Ring,Hair string,Accessories,Solid,Silver,Light,Metal,EQ & Special Collections,Ladies Accessories,Ladieswear,Womens Small accessories,Accessories,Hair clip in the shape of a metal ring that opens and has a hair elastic inside.
146730001,200 den 1p leggings,Leggings/Tights,Garment Lower body,Solid,Black,Dark,Black,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Opaque matt leggings with an elasticated waist. 200 denier.
147339034,6P SS BODY,Bodysuit,Garment Upper body,All over pattern,White,Light,White,Baby basics,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,Jersey Basic,Short-sleeved bodysuits in organic cotton jersey with press-studs at the crotch.
148033001,Nouvelle 1p Stay Up,Leggings/Tights,Garment Lower body,Solid,Black,Dark,Black,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.
148033006,Nouvelle 1p Stay Up,Socks,Socks & Tights,Solid,Beige,Medium Dusty,Beige,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.
150959011,THOMPSON woven sport pants,Trousers,Garment Lower body,Solid,Black,Dark,Black,Men Sport Bottoms,Sport,Sport,Men H&M Sport,Jersey Fancy,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
150959013,THOMPSON woven sport pants,Trousers,Garment Lower body,Solid,Dark Grey,Dark,Grey,Men Sport Bottoms,Sport,Sport,Men H&M Sport,Jersey Fancy,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
153115019,OP Strapless^,Bra,Underwear,Solid,Black,Dark,Black,Clean Lingerie,Lingeries/Tights,Ladieswear,Womens Lingerie,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
153115020,OP Strapless^,Bra,Underwear,Solid,Light Beige,Dusty Light,Beige,Clean Lingerie,Lingeries/Tights,Ladieswear,Womens Lingerie,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
153115021,OP Strapless^,Bra,Underwear,Solid,White,Light,White,Clean Lingerie,Lingeries/Tights,Ladieswear,Womens Lingerie,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
153115039,OP Strapless^,Bra,Underwear,Solid,Dark Pink,Medium,Lilac Purple,Clean Lingerie,Lingeries/Tights,Ladieswear,Womens Lingerie,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
153115040,OP Strapless^,Bra,Underwear,Solid,Yellowish Brown,Medium Dusty,Brown,Clean Lingerie,Lingeries/Tights,Ladieswear,Womens Lingerie,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
153115043,OP Strapless^,Bra,Underwear,Solid,Yellowish Brown,Dark,Brown,Clean Lingerie,Lingeries/Tights,Ladieswear,Womens Lingerie,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
156224001,Box 4p Socks,Socks,Socks & Tights,Solid,Beige,Medium Dusty,Beige,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Semi-matte socks with a short shaft. 20 denier.
156224002,Box 4p Socks,Unknown,Unknown,Solid,Black,Dark,Black,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Semi-matte socks with a short shaft. 20 denier.
156227001,Box 4p Kneehighs,Underwear Tights,Socks & Tights,Solid,Black,Dark,Black,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Four pairs of knee highs. 20 denier.
156227002,Box 4p Kneehighs,Underwear Tights,Socks & Tights,Solid,Beige,Medium Dusty,Beige,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Four pairs of knee highs. 20 denier.
156231001,Box 4p Tights,Underwear Tights,Socks & Tights,Solid,Black,Dark,Black,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Matt tights with an elasticated waist. 20 denier.
156231002,Box 4p Tights,Leggings/Tights,Garment Lower body,Solid,Beige,Medium Dusty,Beige,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Matt tights with an elasticated waist. 20 denier.
156289011,Slim Cheapo 79,Trousers,Garment Lower body,Denim,Blue,Light,Blue,Kids Boy Denim,Children Sizes 92-140,Baby/Children,Kids Boy,Trousers Denim,"5-pocket slim-fit jeans in washed denim with an adjustable elasticated waist, zip fly with a press-stud and slim legs."
156610001,Connor pants,Trousers,Garment Lower body,Solid,Black,Dark,Black,Men Sport Woven,Sport,Sport,Men H&M Sport,Jersey Fancy,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
156610007,Anton sport pant,Trousers,Garment Lower body,Solid,Black,Dark,Black,Men Sport Woven,Sport,Sport,Men H&M Sport,Jersey Fancy,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
156610010,Anton sport pant,Trousers,Garment Lower body,All over pattern,Black,Dark,Black,Men Sport Woven,Sport,Sport,Men H&M Sport,Jersey Fancy,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
158340001,Highwaist 30 den 1p Tights,Leggings/Tights,Garment Lower body,Solid,Black,Dark,Black,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,High-waisted tights that lift the bum and shape the waist and thighs. 30 denier.
160442007,3p Sneaker Socks,Socks,Socks & Tights,Solid,Black,Dark,Black,Shopbasket Socks,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
160442010,3p Sneaker Socks,Socks,Socks & Tights,Solid,White,Light,White,Shopbasket Socks,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
160442042,Sneaker 3p Socks,Socks,Socks & Tights,Melange,Light Grey,Medium Dusty,Grey,Socks,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
160442043,3p Sneaker Socks,Socks,Socks & Tights,Melange,Light Grey,Medium Dusty,Grey,Shopbasket Socks,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
162074062,Sigge sneaker sock 5p,Socks,Socks & Tights,Colour blocking,Pink,Bright,Pink,UW,Divided,Divided,Divided Basics,"Under-, Nightwear",Fine-knit trainer socks in various colours.
162074069,Sigge sneaker sock 5p,Socks,Socks & Tights,All over pattern,Grey,Dusty Light,Grey,UW,Divided,Divided,Divided Basics,"Under-, Nightwear",Fine-knit trainer socks in various colours.
162074071,Sigge sneaker sock 5p,Socks,Socks & Tights,All over pattern,Black,Dark,Grey,UW,Divided,Divided,Divided Basics,"Under-, Nightwear",Fine-knit trainer socks in various colours.
163734002,KOMPIS 2-pack L/S,Top,Garment Upper body,Solid,Black,Dark,Black,Young Girl Jersey Basic,Children Sizes 134-170,Baby/Children,Girls Underwear & Basics,Jersey Basic,Long-sleeved tops in soft organic cotton.
163734054,KOMPIS 2-pack L/S,Top,Garment Upper body,Melange,Light Blue,Light,Blue,Young Girl Jersey Basic,Children Sizes 134-170,Baby/Children,Girls Underwear & Basics,Jersey Basic,Long-sleeved tops in soft organic cotton.
164912035,Scallop 5p Socks,Socks,Socks & Tights,Solid,Black,Dark,Black,Shopbasket Socks,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Fine-knit socks with a scalloped edge.
164912039,Scallop 5p Socks,Socks,Socks & Tights,Melange,Dark Pink,Medium Dusty,Pink,Shopbasket Socks,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Fine-knit socks with a scalloped edge.
174057022,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,All over pattern,Light Pink,Dusty Light,Pink,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057026,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,All over pattern,Light Grey,Dusty Light,Grey,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057027,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,All over pattern,Dark Blue,Dark,Blue,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057028,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,All over pattern,Light Pink,Dusty Light,Pink,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057029,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Dot,White,Light,White,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057030,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Stripe,Light Turquoise,Dusty Light,Turquoise,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057032,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,All over pattern,Dark Blue,Dark,Blue,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057033,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,All over pattern,Light Pink,Dusty Light,Pink,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057035,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,All over pattern,Light Turquoise,Dusty Light,Turquoise,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057036,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Stripe,Yellow,Medium,Yellow,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057037,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Stripe,Dark Blue,Dark,Blue,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057038,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Stripe,Light Pink,Dusty Light,Pink,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057039,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Dot,Dark Blue,Dark,Blue,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
174057040,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear,Dot,Light Pink,Dusty Light,Pink,Baby Nightwear,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
176209023,Mr Harrington w/hood,Hoodie,Garment Upper body,Solid,Black,Dark,Black,Jacket Street,Menswear,Menswear,Mens Outerwear,Outdoor,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
176209025,Mr Harrington w/hood,Hoodie,Garment Upper body,Solid,Greenish Khaki,Dark,Khaki green,Jacket Street,Menswear,Menswear,Mens Outerwear,Outdoor,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
176209033,Mr Harrington w/hood,Hoodie,Garment Upper body,Solid,Yellowish Brown,Medium Dusty,Brown,Jacket Street,Menswear,Menswear,Mens Outerwear,Outdoor,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
